,Title,Company,Description,Type,Maximum,Minimum,isYearly
73,QA Engineer,Forest Technologies Pte. Ltd,"About the Role
We're looking for a talented Software QA (manual and automated) to join us and be responsible for reviewing documents, content, and systems developed using different technologies and delivered across multiple devices, as well as detailed QA testing.
Key Responsibilities
Build test strategies and test scenarios based on the business requirements.
Execute all the test phases of the testing process.
Write and update a series of manual and automated test cases for new and existing features of the system.
Perform program tests and debugging to ensure quality testing and bug reporting are maintained throughout the testing process.
Ensure the software release has been delivered properly by internal and external parties.
Ensure the production deployment process is correctly performed and follows the timeline.
Ensure the deployment plan is communicated and aligned with IT operations.
Prepare release notes for communication to users on what’s new or fixed in each release.
Document test results and ensure that they are stored in the respective repositories.
Help define, drive, and propose improvement plans for QA best practices and processes.
Analyse the upcoming deliveries of projects, changes, and defects, maintain the test environment planning, and highlight any issues or risks associated with them.
Liaise with business teams, walkthrough UAT test plans, and provide regular updates on the overall testing, defects, and delivery status.
Liaise with the development teams about the defects and coordinate their delivery.
Qualifications
Fresh graduates or 1-year experience as a quality assurance/ software tester.
Have experience developing test strategies, test plans, test designs, test cases, and test scenario
Strong knowledge of Software QA Methodologies (manual and automated) with tools and processes (black box and white box)
Hands-on with automated testing tools such as Cypress (preferred), Katalon, Selenium, Postman, JMeter, etc.
Experience with QA best practices and testing methodologies
Manual testing experience – regression, functional, exploratory.
Excellent in testing systems, databases, and applications, and reproducing bugs.
Able to create a test plan and test case documents.
Familiar with the Product Development Cycle",Fresh graduate,-1,-1,False
72,Website Developer,ImmeVR Pte Ltd,"Job Description
As our Web Developer, you will work and maintain our websites to keep its content clear, concise, and well displayed, as well as improving and implementing new functionality.
Responsibilities
Develop new features or content and implement into websites
Optimize website loading speed, security, or any flaws
Work closely with the software engineers to upload, apply, and display the final product
Work closely with UI/UX designers to provide the most user friendly and attractive UI
Write clear, well documented and testable code
Desired Skills and Expertise
– Diploma or above in relevant fields
– 2+ years experience with Web-hosting services and web structure is preferred; fresh graduates are also welcomed
– Experience with HTML/CSS/Java/Javascript/jQuery/PHP/AJAX
– Experience with database systems and git source control
– Comfortable working in a fast-paced, constantly evolving and multidisciplinary environment
– Self-motivated and driven",Fresh graduate,-1,-1,False
69,"Associate Engineer, QA (Mobile)",NodeFlair,"Job Summary

Job Type
Permanent

Seniority

Years of Experience
Information not provided

Tech Stacks
CI Git iOS Android

Job Description
As an Associate Engineer, QA (Mobile) at Viki, you will be working on testing our apps, with the option of conducting those tests in iOS, Android, FireTV, Roku, Samsung and LG depending on experience. We are currently looking for a passionate and collaborative engineer who’s willing to explore new technologies and excel at existing ones. As part of the team, you will get the chance to work with an amazing team of Engineers whose work is featured in various tech blogs and news sites. Our apps are regularly featured in multiple countries around the world as well. In addition, you get the chance to learn about media streaming across multiple platforms (Mobile Apps, Connected TV Apps, Chromecast, and so forth).

Key Requirements Include:
Good understanding of software engineering principles and tools (such as SOLID principles git, CI/CD integration)
Have troubleshooting and debugging skills to quickly identify vulnerabilities and bugs and tracking them to closure
Understand functional/technical specifications and analyze data
Identifying and writing test plans and cases based on the given requirements
Setting up test environment and test data that are essential for test execution
Providing test results for every test cycle
Ensuring product quality across platforms
Maintaining agility without compromising the user experience
Collaborate closely with engineering, product and design teams to understand new features and changes, ensuring testing efforts align with project goals and timelines
Fresh graduates are welcome to apply
Qualifications:
Bachelor’s Degree in Computer Science, Information Technology or a related field
Strong analytical, problem-solving skills and attention to detail
Fundamental knowledge of Software Engineering concepts and STLC life cycle
Proactive attitude towards learning and adopting new testing tools and technologies
Excellent command of spoken and written English
Bonus Qualifications:
Video streaming experience
Exposure with testing frameworks and automation tools
Experiences in working in product companies
Experiences in working with in-app subscriptions
Rakuten provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type. Rakuten considers applicants for employment without regard to race, color, religion, age, sex, national origin, disability status, genetic information, protected veteran status, sexual orientation, gender, gender identity or expression, or any other characteristic protected by federal, state, provincial or local laws.",Permanent,-1,-1,False
265,Jobs For Architectural Graduates,Ace PLP Pte Ltd,"Jobs For Architectural Graduates

Entry Requirements
Entry-level candidates and mid-careerists may apply. Strong interest in pursuing a career in the Built Environment Sector.
Degree/Diploma/ITE in Built Environment-related fields:
Aerospace Engineering
Architecture
Civil Engineering
Electrical Engineering
Green Building
Landscape Design & Planning
Mechanical Engineering
Mechatronic Engineering
Sustainable Building
Other qualifications considered: Any engineering subjects, Intelligent Building Technology, Graphic Arts, Visual/Product/Interior Design, Landscape Architecture, Environmental Engineering, etc.
Professionals with prior experience in BIM may request a skills test to fast-track their development at AcePLP.
Role Of An Architectural Engineer In AcePLP
Fresh Architectural graduates and mid-careerists with no prior work experience will complete 2 months of classroom training in BIM and CAD applications. The training is conducted by Ace Industry Academy (AIA), the official training arm of AcePLP, and will prepare you as you embark on your career as an Architectural BIM Modeller. AIA is an SSG/WSG approved training provider, and some modules which you attend during this period will be WSQ-accredited, and in line with the national skills framework for the Built Environment. (SSG/WSG is a statutory council formed by the Ministry of Manpower and Ministry of Education.)
Certificates will be awarded on completion of classroom training, and thereafter, you will be assigned to work on projects to gain experience. To guarantee a smooth transition, AcePLP pairs freshly trained BIM modellers with senior colleagues or Alumni. Trainers will also be on hand to assist the new modellers if they run into any challenges. The experience you gain from participating in projects can be used towards the Digital Delivery Management Accreditation Scheme.
You will likely assist our clients to populate Architecture BIM models with building components such as walls, columns, slab, floor, doors, windows, roof, staircase, ceiling, fixtures, and furniture items. Some of our colleagues in this type of projects also create room books; assigning spaces, zones and rooms to the facility and using it to create area plans and schedules.
As you learn and progress in the digital delivery services role, you may be moved into projects that require a great deal of integration and coordination with other stakeholders, as the role of design and construction is often a collaboration between consultants, contractors, and specialists.
What You Will Learn On The Job
In the 26-month AcePLP Career Advancement Programme, you start off in our classrooms to undergo intense technical training in BIM to build your foundational skills in Digital Delivery Management.
Through our training programme, we ensure that you gain the ability to use the most popularly used BIM software application in Singapore, which are Autodesk Revit, Bentley OpenBuilding, OpenRail and OpenPlant. This gives you the flexibility to work on various kinds of building and infrastructure projects in Singapore. We will also cover the use of 2D products such as AutoCAD and MicroStation, which are crucial for the documentation of the BIM models.
As and when the use cases arise, we will put you through training in 4D BIM products, combining the BIM application software with a Microsoft Projects or Primavera P6 schedule using products such as Synchro 4D or Navisworks Manage, enabling you to deliver on Virtual Design and Construction processes. You may undergo other types of training depending on your interest and where the opportunities take you.
What Is Your Career Progression As An Architectural BIM Modeller?
BIM has greatly improved how architects and engineers design and construct buildings. With BIM authoring tools, architects create a digital 3D model of the building, allowing them to see a representation of what it will look like and how it will operate. The ease of which designs can be updated according to new information and requirements allows the design process to become iterative, transforming the ways that Architects have traditionally operated.
Skills and experience in BIM have become a fundamental requirement for moving into and progressing within the Architecture track of the Built Environment. Your participation in our apprenticeship programme will help you open doors to many opportunities in the Architecture track.
Depending on the assignment opportunities, you may also have collaborated with structural and/or mechanical and electrical teams. This kind of experience can have a transformative effect on your career as an Architect, and on parallel, also set you for a career in Project Management.
If your interest lies in technology implementation, you will also have many opportunities within the Digital Delivery Management track, which involves the adoption and implementation of up-to-date emerging digital technologies to optimize operations and processes, improve collaboration and enhance work efficiency.
You can progress in this track to become an expert DDM professional, rising in the ranks to become a Tier 2 (Lead) BIM Manager, and then a Chief Digital Officer (Tier 1), where you will oversee the implementation and innovation of digital solutions to achieve digital transformation in the business, leading the strategic direction in your team.
For information regarding the DDM Accreditation Scheme, visit building SMART Singapore.
Career Pathways To Accredited Digital Delivery Management (BIM) Professionals",None,-1,-1,False
266,Solutions Engineer,HR Exchange,"Responsibilities:
Understand scope of project, invite vendor quotations, collate and evaluate vendor quotes
If required, conduct site survey and data gathering at site
Review costing for project, prepare sales proposals and provide pre-sales support in clients’ requirement analysis
Draft tender and project documents to assist in the preparation of technical and commercial bids for company projects
Interpret and review system drawings to identify any difference to tender requirements and raise queries against specification
Build relationships and liaise with internal customers and external suppliers / vendors and manage daily correspondence for quantities, costs and specifications
Requirements:
Degree/Diploma in Electrical/Mechanical Engineering/Quantity Surveying
Fresh grad is welcome
Possess strong technical knowledge
Sound knowledge of construction, with construction estimating an advantage
A team player with strong individual drive, sense of responsibility and task ownership, ability to plan and organize, willing and capable of multi-tasking functions.
Excellent presentation, communication and interpersonal skill with ability to interact with people at different levels
Proactive, resourceful, independent with good problem solving and analytical skills
Excellent presentation, communication and interpersonal skill with ability to interact with people at different levels
Proficient in Microsoft Office
EA Licence No: 22C1055
EA Personnel Registration No: R1980530",Fresh graduate,-1,-1,False
267,Sales Executive / Engineer ( JB / PG ),Long Shine Equipment & Supplies,"Job Highlights
Attractive Salary Package & Benefits
Opportunities For Growth And Career Advancement
Yearly Increament & Bonus for Performing Staff
Position Level:
Senior Executive

Job Specialization:
Engineering – Industrial

Qualification:
Higher Secondary/STPM/”A” Level/Pre-U
Professional Certificate
Diploma/Advanced/Higher/Graduate Diploma

Employment Type:
Full-Time

Responsibilities:
1)To maintain and service existing customer base / clients.
2)To identify and develop new customer and end user.
3)To conduct market survey and customer road mapping exercise to identify market potential.
4)Achieve sales target and servicing of existing and new potential customers.
5)Work closely with technical and production department in project development.
6)Provide regular sales report on sales activities and project follow-up.
7)Other business functions deem necessary.

Requirements:
1)Candidate must possess at least Professional Certificate,
2)Diploma/Advanced/Higher/Graduate Diploma, Bachelor’s Degree/Post
3)Graduate Diploma/Professional Degree in any field.
4)At least 2 Year(s) of working experience in the related field is required for this position.
Priority given to those who are experienced in Adhesives Chemicals and applications.
5)Required Skill(s): Microsoft Office
6)Excellent communication, interpersonal and presentation skills.
7)Possess own transport and willing to travel.
8)Preferably experienced Executive specialised in Marketing/Business
9)Development or equivalent.
10)Training will be provided for the successful candidates and they can expect an attractive and good remuneration,
allowance and commission package that commensurate with experience, qualification and performance.

Job Description
As a Sales Executive, your role is very important as:
You will be developing new sales opportunities with potential clients as well as creating lasting relationship with our existing customers
You will be providing exceptional after-sales support to the customers till they will come and buy again from you, or will recommend your service to others! That’s how you grow your sales portfolio and get AWESOME incentives for your achievement!
Who are we looking for?
Candidate with sales experience. If you have experience in selling machineries, manufacturing equipment or technical-related products, that would be great!
No experience? Fresh graduates? Engineering graduates? Do apply first and pitch yourself during the interview. Why? Because we strongly believe that sales skills can be taught and trained, if you have the right attitude.
You are currently a Sales? Perfect match! Quickly apply!
Great communication skills in multiple languages such as English, Bahasa Malaysia, Mandarin etc. In some cases, you may need to liaise with overseas suppliers. Thus, extra language will help you a lot!
Someone who can travel with own transport to visit clients.
So, what’s in it for you if you join our AWESOME sales team?
You get to work in any branches near you – in Batu Maung (Penang) and Johor Bahru (Johor).
We provide very attractive commission and annual bonus pay-outs if you hit your numbers.
We grow and groom our people to become the next sales team leaders and then people managers!
Learn as you go. Get mentored by our high performing Sales Managers on how to make your first 100 sales transaction. Product development training is also provided.
It’s not all about work. We value life more than others. Have great fun in our annual company trips and team outings!
We all fall sick sometimes. Worry not, clinic, dental & hospitalization coverage is provided.",Full-time,-1,-1,False
67,Software Development Engineer,Micron,"Our vision is to transform how the world uses information to enrich life for all.
Join an inclusive team passionate about one thing: using their expertise in the relentless pursuit of innovation for customers and partners. The solutions we build help make everything from virtual reality experiences to breakthroughs in neural networks possible. We do it all while committing to integrity, sustainability, and giving back to our communities. Because doing so can fuel the very innovation we are pursuing.
JR45102 Software Development Engineer
This is an exciting and fast-paced position! Our team Application Development & Support(ADS) delivers software solutions to leadership and engineers throughout Micron's global manufacturing network. As Operations Central Team (OCT) Software Development Engineer at Micron Technology, Inc., we have the chance to create and improve Micron systems and processes on a global scale.
We will collaborate with customers across departments and geographical sites to design, develop, innovate and support software throughout the development life cycle. Be part of the team to support efficient business processes by maintaining a focus on global alignment, and participating in efforts to research and influence technology roadmaps.
Responsibilities include, but not limited to:
Demonstrate Micron core values People, Innovation, Tenacity, Collaboration, and Customer Focus
Collecting requirements from customer requests
Designing, developing, debugging, documenting, testing, and deploying applications
Collaborating with other developers on the team
Working closely with Business Operation Teams, Product and Application Development teams, and other internal customers during application development and deployment
Training users on the use and maintenance of new applications
Project Description
Join an agile team as one of the developers to develop a web solution for Micron globally including, but not limited to, API, ETL, and database
Can be a new or existing running projects
Learning Outcomes
Gain hands-on development experience in modern tools and cutting-edge tech stacks (Angular, OpenShift, Azure)
Learn to work effectively in the IT agile development team to develop successful product with timely delivery
Gain domain knowledge on semiconductor industry
Learn problem-solving and analytical skills and good software engineering practices
Develop communications, interpersonal, and other critical skills in the professional environments
Pre-requisites
Proficient in Angular, .NET Core, C#, and SQL
Knowledge of containerized deployment with Docker, Kubernetes, and OpenShift a plus.
Traits
Strong analytical, problem solving, and interpersonal skills
Motivated to work in dynamic and fast-paced environment
Ambitious and driven to complete tasks independently while recognizing ways to improve processes
Active team participation, partnership, and consensus-building skills
Good verbal and written communication skills
Responsibilities
Executes full software development process
Collaborates multi-functionally with business users, project managers and other engineers to achieve elegant solutions.
Develops high quality and innovative software design and solutions.
Provides ongoing documentation, maintenance, support and improvements in existing systems and platforms.
Provides 24x7 Support
Education Required
Bachelors Degree or equivalent experience in Computer Science or related field of study
Experience Required
3 years experience in 3 or more of the following:
Experience in front-end web development (preferably Angular, ASP.NET)
Proficiency in C# and Object Oriented Programming
Proficiency in HTML, CSS, JavaScript
Experience in RESTful Web API development (preferably ASP.NET Core, Node.js)
Experience with Agile development methodologies
Good understanding of one or more database technologies (MSSQL, ORACLE, Snowflake, MongoDB, CouchDB)
Experience in SSIS, SSRS, Tableau, PowerBI or any Business Intelligence technologies Bonus if you have experience in Python and cloud programming, CICD (Azure), NiFi
Knowledge of source code repositories (Git)
Knowledge of SQA is a bonus
Fresh graduates are welcome to apply
About Micron Technology, Inc.
We are an industry leader in innovative memory and storage solutions transforming how the world uses information to enrich life for all. With a relentless focus on our customers, technology leadership, and manufacturing and operational excellence, Micron delivers a rich portfolio of high-performance DRAM, NAND, and NOR memory and storage products through our Micron® and Crucial® brands. Every day, the innovations that our people create fuel the data economy, enabling advances in artificial intelligence and 5G applications that unleash opportunities — from the data center to the intelligent edge and across the client and mobile user experience.

To learn more, please visit micron.com/careers

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.

To request assistance with the application process and/or for reasonable accommodations, please contact hrsupport_sg@micron.com
Micron Prohibits the use of child labor and complies with all applicable laws, rules, regulations, and other international and industry labor standards.
Micron does not charge candidates any recruitment fees or unlawfully collect any other payment from candidates as consideration for their employment with Micron.",Fresh graduate,-1,-1,False
66,"Associate Engineer, QA (Mobile)",Rekuten Global,"Job Description:
Rakuten Group, Inc. is the largest e-commerce company in Japan, and third largest e-commerce marketplace company worldwide, with over 1.5 billion registered users worldwide. The Rakuten brand is recognized worldwide for its leadership and innovation, and provides a variety of consumer and business-focused services including e-commerce, e-reading, travel, banking, securities, credit card, e-money, portal and media, online marketing and professional sports. The company is expanding globally and currently has operations throughout Asia, Western Europe, and the Americas.
Rakuten Viki is a premier global entertainment streaming site where millions of people discover and consume primetime shows and movies subtitled in more than 200 languages, by our community of fans. With billions of videos viewed and more than 1 billion words translated, Viki brings global entertainment to fans everywhere!
As an Associate Engineer, QA (Mobile) at Viki, you will be working on testing our apps, with the option of conducting those tests in iOS, Android, FireTV, Roku, Samsung and LG depending on experience. We are currently looking for a passionate and collaborative engineer who’s willing to explore new technologies and excel at existing ones. As part of the team, you will get the chance to work with an amazing team of Engineers whose work is featured in various tech blogs and news sites. Our apps are regularly featured in multiple countries around the world as well. In addition, you get the chance to learn about media streaming across multiple platforms (Mobile Apps, Connected TV Apps, Chromecast, and so forth).
Key Requirements Include:
Good understanding of software engineering principles and tools (such as SOLID principles git, CI/CD integration)
Have troubleshooting and debugging skills to quickly identify vulnerabilities and bugs and tracking them to closure
Understand functional/technical specifications and analyze data
Identifying and writing test plans and cases based on the given requirements
Setting up test environment and test data that are essential for test execution
Providing test results for every test cycle
Ensuring product quality across platforms
Maintaining agility without compromising the user experience
Collaborate closely with engineering, product and design teams to understand new features and changes, ensuring testing efforts align with project goals and timelines
Fresh graduates are welcome to apply
Qualifications:
Bachelor’s Degree in Computer Science, Information Technology or a related field
Strong analytical, problem-solving skills and attention to detail
Fundamental knowledge of Software Engineering concepts and STLC life cycle
Proactive attitude towards learning and adopting new testing tools and technologies
Excellent command of spoken and written English
Bonus Qualifications:
Video streaming experience
Exposure with testing frameworks and automation tools
Experiences in working in product companies
Experiences in working with in-app subscriptions
Rakuten provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type. Rakuten considers applicants for employment without regard to race, color, religion, age, sex, national origin, disability status, genetic information, protected veteran status, sexual orientation, gender, gender identity or expression, or any other characteristic protected by federal, state, provincial or local laws.",Full-time,-1,-1,False
63,Cloud / DevOps Analyst,GoTruck Pte Ltd.,"As a Cloud / DevOps Engineer, you will have the opportunity to assist in starting up the department and understanding the purpose for each process. Test your problem-solving skills to the limit and leave customers smiling by quashing bugs and ensuring everything runs smoothly. Don’t just be a cog in the machine. Grow with us.
Your key responsibilities will be to:
Implement, maintain, monitor, and support the tech infrastructure.
Perform Root Cause Analysis (RCA) and resolve technical issues.
Assist in fine-tuning troubleshooting and system maintenance procedures.
Provide support for automation tools and frameworks for Continuous Integration/Continuous Delivery of agile processes.
Provide support for the implementation and maintenance of IT projects.
Required Experience and Qualities:
Have a customer-first mindset and possibly support them outside of working hours.
Detail-oriented
Enjoys finding and fixing the root cause of problems
Agile growth mindset
Diploma in Computer Science, or equivalent subject/experience
2-4 years of experience, fresh grads welcome
Technical skills/knowledge required
MySQL and MSSQL
Google Cloud Platform (VMs, Cloud Storage, IAM, Service Accounts)
Linux System Administration (Ubuntu or Debian variant)
Docker image building and container deployment on Kubernetes
Linux Bash shell scripting",Fresh graduate,-1,-1,False
61,Frontend Developer,Axrail Pte Ltd,"Singapore/Kuala Lumpur

About Axrail

We are a leading company in providing analytics and machine learning services to help enterprise be more data driven. We are looking for passionate, hardworking and talented software development engineers to be part of our team in creating and building innovative websites that customers love.

We hire only builders – people who like to invent, enjoy problem-solving and are outcome driven. If you are a builder yourself, we are keen to hear from you!

What will I be doing?

Collaborate with Experience Designers to iterate on the design and implementation of our product

Build efficient and reusable front-end systems and abstractions

Responsible for the development and maintenance of key system features

Will work with other team members to investigate design approaches, prototype new technology and evaluate technical feasibility

Participate in design and code reviews

Do I have what it takes?

Strong attention to detail. You will be responsible for pixel-perfect implementation of designs

Have programming experience in JavaScript and/or Java in Linux and/or Windows environment

Strong knowledge of JavaScript and React.js

Experienced with modern JavaScript libraries and tooling

Commanding grasp of HTML, CSS, and related web technologies

Awareness of cross-browser compatibility issues and client-side performance considerations

Demonstrated design and UX sensibilities

Motivated fresh grad with good attitude are welcome

Plus points:
Strong Computer Science fundamentals

Development experience of using cloud platform

Development experience defining, developing and maintaining REST based interfaces

If this sounds interesting, we would love to hear from you. Please include whatever info you believe is relevant: resume, GitHub profile, code samples, links to personal projects, etc.

Benefits

Competitive salaries

Career growth opportunities

Flexible working hour

Attractive benefits",Fresh graduate,-1,-1,False
272,Jobs For Landscape Architecture Graduates,Ace PLP Pte Ltd,"Jobs For Landscape Architecture Graduates
Entry Requirements
Entry-level candidates and mid-careerists may apply. Strong interest in pursuing a career in the Built Environment Sector.
Degree/Diploma/ITE in Built Environment-related fields:
Aerospace Engineering
Architecture
Civil Engineering
Electrical Engineering
Green Building
Landscape Design & Planning
Mechanical Engineering
Mechatronic Engineering
Sustainable Building
Other qualifications considered: Any engineering subjects, Intelligent Building Technology, Graphic Arts, Visual/Product/Interior Design, Landscape Architecture, Environmental Engineering, etc.
Professionals with prior experience in BIM may request a skills test to fast-track their development at AcePLP.
Role Of A Landscape Architecture In AcePLP
Fresh Landscape Architecture graduates and mid-careerists with no prior work experience will complete 2 months of classroom training in BIM and CAD applications. The training is conducted by Ace Industry Academy (AIA), the official training arm of AcePLP, and will prepare you as you embark on your career as a Landscape Architecture BIM modeller. AIA is an SSG/WSG approved training provider, and some modules which you attend during this period will be WSQ-accredited, and in line with the national skills framework for the Built Environment. (SSG/WSG is a statutory council formed by the Ministry of Manpower and Ministry of Education.)
Certificates will be awarded on completion of classroom training, and thereafter, you will be assigned to work on projects to gain experience. To guarantee a smooth transition, AcePLP pairs freshly trained BIM Modellers with senior colleagues or Alumni. Trainers will also be on hand to assist the new modellers if they run into any challenges. The experience you gain from participating in projects can be used towards the Digital Delivery Management Accreditation Scheme.
Using BIM for landscape architecture allows us to take ownership of the designs and enable confident decision-making. It designs with data instead of simply relying on geometry or 2D lines. For example, a tree within a BIM model would have the parameters necessary to install the tree, such as its scientific name, root size, condition and install height. It should also have relevant design information such as the mature height, spread, water and sun requirements, and bloom time.
In your projects, you will serve clients that are main contractors that need to interface with Architects, or support our clients work in Architecture practice. You may also be assigned to work at multi-disciplinary engineering consultancies with Architecture departments.
You will likely assist our clients to populate Landscape Architecture BIM models, work with digital terrain models, import or build tree elements, create slopes, curbs, pavements and surface drainage elements in the Landscape Architecture BIM model, and produce schedules, reports, and worksheets that are linked to geometry to create a bi-directional link between the BIM model and the documentation.
As you learn and progress in the digital delivery services role, you may be moved into assignments that require a great deal of integration and coordination with other stakeholders, because the role of design and construction is often a collaboration between consultants, contractors, and specialists.
What You Will Learn On The Job
In the 26-month AcePLP Career Advancement Programme, you start off in our classrooms to undergo intense technical training in BIM to build your foundational skills in Digital Delivery Management.

Through our training programme, we ensure that you gain the ability to use the most popularly used BIM application software in Singapore, which are Autodesk Revit, Bentley OpenBuilding, OpenRail and OpenPlant. This gives you the flexibility to work on various kinds of building and infrastructure projects in Singapore. We will also cover the use of 2D products such as AutoCAD and MicroStation, which are crucial for the documentation of the BIM models.

Occasionally, Autodesk Civil 3D is used in civil infrastructure projects. As an extension to AutoCAD, Civil 3D has a similar interface which builds on top of AutoCAD capabilities to generate 3D models for surfaces, alignments, profiles, assemblies, and corridors. As when opportunity arises, we will put you through training in 4D BIM products, combining the BIM model with a Microsoft Projects or Primavera P6 schedule using products such as Synchro 4D or Navisworks Manage, enabling you to deliver on Virtual Design and Construction processes. You may undergo other types of training depending on your interest and where the opportunities take you.
What Is Your Career Progression As A Landscape Architecture Graduate?
BIM has greatly improved how architects and engineers design and construct buildings. With BIM authoring tools, architects create a digital 3D model of the building, allowing them to see a representation of what it will look like and how it will operate. The ease of which designs can be updated according to new information and requirements allows the design process to become iterative, transforming the ways that Architects have traditionally operated.

Skills and experience in BIM have become a fundamental requirement for moving into and progressing into Architecture jobs in the Built Environment. Your participation in our apprenticeship programme will help you open doors to many job opportunities in Landscape Architecture.

Depending on the assignment opportunities, you may also have collaborated with structural and/or mechanical and electrical teams. This kind of experience can have a transformative effect on your career as an Architect, and on parallel, also set you for a career in Project Management.

If your interest lies in technology implementation, you will also have many opportunities to jobs in Digital Delivery Management, which involves the adoption and implementation of up-to-date emerging digital technologies to optimize operations and processes, improve collaboration and enhance work efficiency.

You can progress in this track to become an expert DDM professional, rising in the ranks to become a Tier 2 (Lead) BIM Manager, and then a Chief Digital Officer (Tier 1), where you will oversee the implementation and innovation of digital solutions to achieve digital transformation in the business, leading the strategic direction in your team.

With a domain knowledge grounded in construction through the experience in projects, armed with a spatial awareness via your 3D modelling and visualization skills, you can enter other tracks to continue to build domain expertise and experience.


For information regarding the DDM Accreditation Scheme, visit building SMART Singapore.
Career Pathways Of Landscape Architecture Graduates To Accredited Digital Delivery Management (BIM) Professionals",None,-1,-1,False
60,Associate Software Application Development Engineer,NTT,"NTT is a leading global IT solutions and services organisation that brings together people, data and things to create a better and more sustainable future.
In today’s ‘iNTTerconnected’ world, connections matter more now than ever. By bringing together talented people, world-class technology partners and emerging innovators, we help our clients solve some of the world’s most significant technological, business and societal challenges.
With people at the heart of our success, NTT is committed to attracting and growing the best talent and providing an environment where everyone feels they can belong and their contribution matters.

Want to be a part of our team?
Kickstart your career with NTTS’s G.L.O.W Graduate Program, the ultimate launchpad for your tech career!

G – Grow in accelerated development path

L – Lead yourself with purpose & commitment

O – Own your career journey

W – Way Forward

Our comprehensive one-year program is tailored to empower talented and driven graduates like you with valuable hands-on experience, exposure to industry experts, and a diverse range of projects that will sharpen your skills and broaden your understanding to the ICT industry.
Working at NTT
Working with senior members of the development team on complex projects that require multiple steps in the software development process.
Writing and debugging code to ensure that an application works as intended.
Communicating with other developers on the team to share knowledge and coordinate work efforts.
Participating in meetings with other members of the development team to discuss progress on projects and identify any issues that may arise.
Learning the codebase and improving your coding skills.
Writing and maintaining code.
Working on minor bug fixes.
Writing reports.
Conducting development tests.
Develop expertise in at least one coding language (.NET C#, Java or Front-End Frameworks)
Develop exposure to Application Platforms like Microsoft Power Platform, SharePoint etc

Requirements:
Bachelor’s Degree, preferably in Computer Science, Information Technology, Engineering or related field
Fresh graduate or less than 3 years of working experience
Knowledge of basic coding language such as .NET C#, Java or Javascript
Knowledge of databases and operating systems is an advantage
Strong in interpersonal skills
Has excellent verbal/written communication and presentation skills
Ability to prioritize work independently and work under pressure deadlines
Team player, resourcefulness, strong analytical skills is an advantage
Skills Summary
Agile Scrum Development, Application Development, C++ Programming Language, Design, Linux, Operating Systems (OS), Programming Languages, Python (Programming Language), Software Applications, Software Development
What will make you a good fit for the role?
Workplace type:
Equal Opportunity Employer
NTT is proud to be an Equal Opportunity Employer with a global culture that embraces diversity. We are committed to providing an environment free of unfair discrimination and harassment. We do not discriminate based on age, race, color, sex, religion, national origin, disability, pregnancy, marital status, sexual orientation, gender reassignment, veteran status, or other protected category

Join our growing global team and accelerate your career with us. Apply today.

A career at NTT means:
Being part of a global pioneer – where you gain exposure to our Fortune 500 clients and world-leading global technology partners and work with a network of over 40,000 smart and diverse colleagues across 57 countries, delivering services in over 200 countries.
Being at the forefront of cutting-edge technology – backed with a 150-year heritage of using technology for good. With 40% of the world’s internet traffic running on our network and where Emoji were first invented, you can be proud of the group’s many new ‘firsts’.
Making a difference – by doing meaningful work that helps to shape the future for our clients, and across industries and communities around the world.
Being your best self – in a progressive ‘Connected Working’ environment that promotes flexibility, connection and wellbeing. Where diversity and different perspectives are embraced to ensure equal opportunities for all.
Having ongoing opportunities to own and develop your career – with a personal and professional development plan and access to the broadest learning offerings in the industry.",Full-time,-1,-1,False
274,Facility Engineer,HR Exchange,"Responsibilities:
Provide support to Senior Manager and Senior Engineer in Facility Maintenance work.
Liaise with customer’s engineering department to ensure company procedures and quality guidelines are followed.
Review “Events and Actions” on site and implement remedial actions where needed.
Manage contractors work on site to ensure adherence to procedures.
Be involved in and carry out planning, execution and updates for all daily work including weekly/monthly report submission.
Be involved in co-ordination and liaison on contractor works, which includes:
Power Diversion
Machine power up and down
Machine roll in and out
Update of Power Distribution Unit (PDU)/Machine listing
Power tracing
Equipment data logging and encompassing all other minor works which contribute to the well-being of the Data Centre or Site
Requirements:
Degree/Diploma in Electrical/Mechanical Engineering
(Candidates with ITE qualification and relevant years of experience will be considered)
Fresh graduates are welcome
Experience in Data Centre facility an advantage
Able to work on after-office hours when required
Possess good practical knowledge of electrical and mechanical work
Possess strong understanding of large-scale facility electrical infrastructure system
Good written and oral communications skills, excellent interpersonal skills, ability to prioritize work efficiently and good team orientation
EA Licence No: 22C1055
EA Personnel Registration No: R1980530",Fresh graduate,-1,-1,False
